time,temp0,hum0,cpt0,temp1,hum1,cpt1,temp2,hum2,cpt2,temp3,hum3,cpt3,temp4,hum4,cpt4,temp5,hum5,cpt5,temp6,hum6,cpt6,temp7,hum7,cpt7,temp8,hum8,cpt8,temp9,hum9,cpt9,targ0,meas0,temp_start0,temp_end0,open0,timeout0,cpt0,targ1,meas1,temp_start1,temp_end1,open1,timeout1,cpt1,targ2,meas2,temp_start2,temp_end2,open2,timeout2,cpt2,targ3,meas3,temp_start3,temp_end3,open3,timeout3,cpt3,targ4,meas4,temp_start4,temp_end4,open4,timeout4,cpt4
30_10_23_2_19,0,0,0,21.20,44.60,3578,20.10,55.40,3572,0,0,0,19.10,55.90,3443,19.90,51.90,3563,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.80,20.80,C,1,0,17.90,20.10,20.80,20.74,C,0,0,21.20,0.00,20.80,17.36,C,814,214,18.10,19.10,20.80,64.10,C,17,0,20.20,19.90,20.80,64.10,O,0,0
30_10_23_2_50,0,0,0,21.20,44.60,3634,20.20,55.50,3589,0,0,0,19.10,55.80,3626,19.90,51.90,3643,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.68,20.68,C,0,0,17.90,20.20,20.68,20.74,C,6,0,21.20,0.00,20.68,17.42,C,822,222,18.10,19.10,20.74,64.10,C,0,0,20.20,19.90,20.74,64.10,O,0,0
30_10_23_3_20,0,0,0,21.20,44.60,3682,20.20,55.50,3589,0,0,0,19.10,55.80,3688,20.10,52.10,3685,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.62,20.55,C,1,0,17.90,20.20,20.62,20.68,C,15,0,21.20,0.00,20.62,17.42,C,831,231,18.10,19.10,20.62,64.10,C,0,0,20.20,20.10,20.62,64.10,O,0,0
30_10_23_3_50,0,0,0,21.20,44.60,3693,20.20,55.50,3589,0,0,0,19.10,55.80,3721,19.90,52.00,3728,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.49,C,8,0,17.90,20.20,20.49,20.62,C,24,0,21.20,0.00,20.49,17.48,C,840,240,18.10,19.10,20.49,64.10,C,1,0,20.20,19.90,20.49,64.10,O,2,0
30_10_23_4_20,0,0,0,21.20,44.60,3693,20.10,55.40,3761,0,0,0,19.10,55.80,3767,19.90,52.00,3766,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.49,C,18,0,17.90,20.10,20.49,20.62,C,1,0,21.20,0.00,20.49,17.48,C,850,250,18.10,19.10,20.49,64.10,C,2,0,20.20,19.90,20.49,64.10,O,1,0
30_10_23_4_51,0,0,0,21.20,44.60,3812,20.10,55.40,3817,0,0,0,19.10,55.80,3815,19.90,52.20,3823,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.49,C,1,0,17.90,20.10,20.49,20.62,C,0,0,21.20,0.00,20.49,17.54,C,858,258,18.10,19.10,20.49,64.10,C,0,0,20.20,19.90,20.49,64.10,O,1,0
30_10_23_5_21,0,0,0,21.20,44.60,3882,20.20,55.50,3886,0,0,0,19.10,55.80,3870,20.00,52.00,3874,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.49,C,0,0,17.90,20.10,20.49,20.62,C,1,0,21.20,0.00,20.49,17.54,C,866,266,18.10,19.10,20.49,64.10,C,1,0,20.20,20.00,20.49,64.10,O,0,0
30_10_23_5_51,0,0,0,21.20,44.60,3939,20.10,55.40,3947,0,0,0,19.10,55.80,3892,20.10,52.10,3953,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.49,C,0,0,17.90,20.10,20.49,20.62,C,0,0,21.20,0.00,20.49,17.61,C,873,273,18.10,19.10,20.49,64.10,C,6,0,20.20,19.80,20.49,64.10,O,1,0
30_10_23_6_21,0,0,0,21.20,44.60,4001,20.30,55.50,3976,0,0,0,19.10,55.80,3892,19.80,51.90,3994,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.49,C,2,0,17.90,20.30,20.49,20.62,C,4,0,21.20,0.00,20.49,17.67,C,882,282,18.10,19.10,20.49,64.10,C,15,0,20.20,19.80,20.49,64.10,O,0,0
30_10_23_6_51,0,0,0,21.00,44.40,4065,20.00,55.30,4058,0,0,0,19.10,55.80,4055,19.60,51.90,4071,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.49,C,1,0,17.90,20.00,20.49,20.62,C,0,0,21.20,0.00,20.49,17.67,C,889,289,18.10,19.10,20.49,64.10,C,1,0,20.20,20.10,20.49,64.10,O,1,0
30_10_23_7_22,0,0,0,21.30,44.70,4113,19.80,55.10,4092,0,0,0,19.10,55.80,4124,19.80,51.90,4123,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.30,20.49,20.55,C,1,0,17.90,19.80,20.49,20.55,C,5,0,21.20,0.00,20.49,17.73,C,898,298,18.10,19.10,20.49,64.10,C,0,0,20.20,19.80,20.49,64.10,O,0,0
30_10_23_7_52,0,0,0,21.20,44.60,4192,20.10,55.40,4181,0,0,0,19.10,55.70,4187,19.80,51.80,4195,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.43,C,2,0,17.90,20.10,20.49,20.55,C,1,0,21.20,0.00,20.49,17.73,C,905,305,18.10,19.10,20.49,64.10,C,0,0,20.20,19.80,20.49,64.10,O,1,0
30_10_23_8_22,0,0,0,21.20,44.50,4205,20.10,55.40,4181,0,0,0,19.10,55.70,4229,19.80,51.90,4227,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.43,C,7,0,17.90,20.10,20.49,20.62,C,11,0,21.20,0.00,20.49,17.80,C,915,315,18.10,19.10,20.49,64.10,C,2,0,20.20,19.80,20.49,64.10,O,0,0
30_10_23_8_52,0,0,0,21.20,44.50,4205,20.10,55.40,4181,0,0,0,19.10,55.70,4268,19.80,51.90,4273,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.43,20.43,C,16,0,17.90,20.10,20.43,20.55,C,20,0,21.20,0.00,20.43,17.80,C,924,324,18.10,19.10,20.43,64.10,C,2,0,20.20,19.80,20.43,64.10,O,1,0
30_10_23_9_23,0,0,0,21.20,44.60,4327,20.10,55.40,4315,0,0,0,19.10,55.70,4311,19.90,51.90,4321,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.43,20.43,C,0,0,17.90,20.10,20.43,20.55,C,0,0,21.20,0.00,20.43,17.86,C,933,333,18.10,19.10,20.43,64.10,C,0,0,20.20,19.80,20.43,64.10,O,2,0
